Wavelength,Intensity,Wavelength,Intensity,Wavelength,Intensity
764.42256,-3.33E-04,777.6067,0.00294,764.42256,-0.01352
764.46292,-2.47E-04,777.61538,0.00348,764.46292,-0.01668
764.50329,-4.14E-04,777.62405,0.00212,764.50329,0.00741
764.54365,-3.77E-04,777.63272,0.00265,764.54365,-0.02754
764.58402,-3.10E-04,777.6414,0.0018,764.58402,-0.03146
764.62438,-2.27E-04,777.65007,0.00204,764.62438,-0.01873
764.66475,-3.69E-04,777.65874,0.00202,764.66475,-0.04033
764.70511,-4.49E-04,777.66741,0.00186,764.70511,-0.01088
764.74548,-3.76E-04,777.67608,0.00147,764.74548,-0.01313
764.78584,-2.47E-04,777.68476,0.00144,764.78584,0.00603
764.8262,-1.90E-04,777.69343,8.89E-04,764.8262,-0.00604
764.86656,-2.11E-04,777.7021,8.33E-04,764.86656,0.03107
764.90693,-2.39E-04,777.71077,9.13E-04,764.90693,-0.01544
764.94729,-1.86E-04,777.71944,0.00133,764.94729,-0.01402
764.98765,-6.17E-05,777.72811,0.00132,764.98765,-0.00756
765.02801,-1.71E-04,777.73678,0.00128,765.02801,-0.01733
765.06837,-2.57E-04,777.74545,0.00175,765.06837,-0.0133
765.10873,-3.63E-04,777.75411,9.53E-04,765.10873,-0.00513
765.14909,-3.66E-04,777.76278,0.00122,765.14909,-0.02617
765.18945,-4.21E-04,777.77145,8.49E-04,765.18945,0.01565
765.22981,-4.10E-04,777.78012,0.0013,765.22981,-0.01495
765.27017,-4.36E-04,777.78879,0.00213,765.27017,-0.01744
765.31052,-2.74E-04,777.79745,0.00172,765.31052,-0.01631
765.35088,-2.68E-04,777.80612,0.00106,765.35088,-0.0072
765.39124,-8.83E-05,777.81479,9.61E-04,765.39124,0.00504
765.4316,-5.04E-06,777.82345,0.0016,765.4316,-0.0046
765.47195,1.83E-06,777.83212,3.43E-04,765.47195,-0.00612
765.51231,4.25E-05,777.84079,0.00107,765.51231,-0.02696
765.55267,-3.60E-06,777.84945,0.0014,765.55267,-0.01861
765.59302,-6.28E-05,777.85812,0.00136,765.59302,-0.01232
765.63338,-1.95E-04,777.86678,0.00122,765.63338,-0.00383
765.67373,-7.11E-05,777.87545,0.0019,765.67373,0.00382
765.71409,-4.39E-05,777.88411,0.00129,765.71409,-0.00369
765.75444,-9.52E-05,777.89278,0.00228,765.75444,-0.01689
765.7948,-2.03E-04,777.90144,0.0026,765.7948,-0.0502
765.83515,-2.21E-04,777.9101,0.00232,765.83515,-0.05063
765.8755,-2.71E-05,777.91877,0.00185,765.8755,-0.03081
765.91585,-1.52E-04,777.92743,0.00144,765.91585,-0.02506
765.95621,-4.02E-04,777.93609,7.10E-04,765.95621,-0.01372
765.99656,-3.03E-04,777.94475,0.0011,765.99656,-0.01657
766.03691,-2.97E-04,777.95342,0.00181,766.03691,-0.0093
